* del Dra,19 12 33.3013,+67 39 41.539,94.599,92.374,3.07,33.3499,G,Altais,Delphinusta Draco,HD 180711,SAO  18222,HIP 94376,HR  7310,Gaia DR2 2255173119656110336,Gaia DR3 2255173119658513408
* tau Pup,06 49 56.1691,-50 36 52.339,32.618,-69.566,2.93,18.7577,K,,Tau Puppis,HD  50310,SAO 234735,HIP 32768,HR  2553,Gaia DR2 5502164890737840000,Gaia DR3 5502164890740285696
* lam Leo,09 31 43.2297,+22 58 04.732,-18.45,-36.303,4.31,8.7555,K,Alterf,Lambda Leo,HD  82308,SAO  80885,HIP 46750,HR  3773,Gaia DR2 644306911864817152,Gaia DR3 644306911864817152
* eta CMa,07 24 05.7022,-29 18 11.179,-4.14,5.81,2.45,1.64,B,Aludra,Eta Canis Major,HD  58350,SAO 173651,HIP 35904,HR  2827,,Gaia DR3 5605797194566011520
* ksi UMa,11 18 10.9318,+31 31 45.440,-453.7,-591.4,3.79,113.2,F,Alula Australis,Xi Ursa Major,,SAO  62484,HIP 55203,,,
* nu. UMa,11 18 28.7372,+33 05 39.501,-26.139,27.892,3.49,7.9823,K,Alula Borealis,Nu Ursa Major,HD  98262,SAO  62486,HIP 55219,HR  4377,Gaia DR2 757565233819639168,Gaia DR3 757565233820538752
* ksi Gem,06 45 17.3644,+12 53 44.141,-114.564,-191.671,3.36,54.1894,F,Alzirr,Xi Gemini,HD  48737,SAO  96074,HIP 32362,HR  2484,Gaia DR2 3352485999057276672,Gaia DR3 3352485999058854912
NGC 6705,18 51 03.8,-06 16 19,-1.568,-4.144,5.8,0.427,,Wild Duck Cluster,,,,,,,
* tet Aqr,22 16 50.0366,-07 46 59.839,118.929,-21.928,4.16,17.0893,G,Ancha,Theta Aquarius,HD 211391,SAO 145991,HIP 110003,HR  8499,Gaia DR2 2616542115933043712,Gaia DR3 2616542115933350144
M 31,00 42 44.330,+41 16 07.50,--,--,3.44,6,,Andromeda Nebula,,HD   3969,,,,,
* tau02 Eri,02 51 02.3271,-21 00 14.441,-52.886,-21.805,4.77,16.793,K,Angetenar,Tau02 Eridanus,HD  17824,SAO 168094,HIP 13288,HR   850,Gaia DR2 5127513656557144576,Gaia DR3 5127513656557144576
* alf Phe,00 26 17.0514,-42 18 21.553,233.05,-356.3,2.38,38.5,K,Ankaa,Alpha Phoenix,HD   2261,SAO 215093,HIP 2081,HR    99,,Gaia DR3 4993479684438433792
* alf Vul,19 28 42.3299,+24 39 53.661,-126.197,-106.865,4.45,11.2238,M,Anser,Alpha Vulpecula,HD 183439,SAO  87261,HIP 95771,HR  7405,Gaia DR2 2022881668933780096,Gaia DR3 2022881668925464320
* alf Sco,16 29 24.4597,-26 25 55.209,-12.11,-23.3,0.91,5.89,M,Antares,Alpha Scorpius,HD 148478,SAO 184415,HIP 80763,HR  6134,,
* alf Sco B,16 29 24.20,-26 25 51.0,--,--,5.2,--,B,Antares B,Alpha Scorpius B,HD 148479,,,,,
* alf Boo,14 15 39.6720,+19 10 56.673,-1093.39,-2000.06,-0.05,88.83,K,Arcturus,Alpha Arcturus,HD 124897,SAO 100944,HIP 69673,HR  5340,,
* bet02 Sgr,19 23 13.1375,-44 47 59.203,93.218,-53.775,4.27,23.3612,F,Arkab Posterior,BEta02 Sagittarius,HD 181623,SAO 229654,HIP 95294,HR  7343,Gaia DR2 6664407333373349376,Gaia DR3 6664407333374099968
* bet01 Sgr,19 22 38.2992,-44 27 32.250,2.89,-18.125,4.01,8.3782,B,Arkab Prior,BEta01 Sagittarius,HD 181454,SAO 229646,HIP 95241,HR  7337,Gaia DR2 6664464851575462016,Gaia DR3 6664464851576141824
* alf Lep,05 32 43.8161,-17 49 20.241,3.56,1.18,2.57,1.47,F,Arneb,Alpha Lepus,HD  36673|HD  36673A,SAO 150547,HIP 25985,HR  1865,Gaia DR2 2971266110610441856,
* zet Sgr,19 02 36.7302,-29 52 48.227,10.79,21.11,2.59,36.98,A,Ascella,ZEta Sagittarius,HD 176687,SAO 187600,HIP 93506,HR  7194,,Gaia DR3 6760703042771435136
* del Cnc,08 44 41.0991,+18 09 15.509,-18.435,-227.813,3.94,23.8271,K,Asellus Australis,Delphinusta Cancer,HD  74442,SAO  98087,HIP 42911,HR  3461,Gaia DR2 660136821288967296,Gaia DR3 660136821288588416
* gam Cnc,08 43 17.1471,+21 28 06.595,-105.76,-39.157,4.652,18.6431,A,Asellus Borealis,Gamma Cancer,HD  74198,SAO  80378,HIP 42806,HR  3449,Gaia DR2 664950414475977728,Gaia DR3 664950414475977728
* eps Hya,08 46 46.5122,+06 25 07.685,-228.11,-43.82,3.38,25.23,G,Ashlesha,EPsilon Hydra,HD  74874,SAO 117112,HIP 43109,HR  3482,Gaia DR2 583151353573508096,
* iot Car,09 17 05.4068,-59 16 30.835,-18.86,11.98,2.26,4.26,A,Aspidiske,Iota Carina,HD  80404,SAO 236808,HIP 45556,HR  3699,,Gaia DR3 5300300156538723328
* 21 Tau,03 45 54.4764,+24 33 16.235,20.331,-46.022,5.76,7.3053,B,Asterope,21 Tau,HD  23432,SAO  76159,HIP 17579,HR  1151,Gaia DR2 66798496781121792,Gaia DR3 66798496781121792
* eta Dra,16 23 59.4863,+61 30 51.155,-16.394,57.094,2.74,35.7163,G,Athebyne,Eta Draco,HD 148387,SAO  17074,HIP 80331,HR  6132,Gaia DR2 1625209684868172544,Gaia DR3 1625209684868707328
